datetime,open,high,low,close,volume
2026-03-17 04:00:00,5027.2876,5042.92294,5002.28554,5021.84267,0
2026-03-17 08:00:00,5021.74367,5029.37271,4993.89012,5003.73345,0
2026-03-17 12:00:00,5003.56301,5030.6624,4978.14194,4997.52267,0
2026-03-17 16:00:00,4997.42475,5008.45844,4991.43474,4998.9783,0
2026-03-17 20:00:00,4998.63708,5007.10662,4994.04978,5002.8235,0
2026-03-18 00:00:00,5002.73999,5016.82098,4989.01333,4991.41449,0
2026-03-18 04:00:00,4991.3622,5015.12179,4982.24724,4995.17297,0
2026-03-18 08:00:00,4995.11713,4997.51837,4928.58183,4928.58183,0
2026-03-18 12:00:00,4928.50457,4929.8969,4837.58291,4865.22754,0
2026-03-18 16:00:00,4864.95622,4899.65344,4839.88812,4841.92773,0
2026-03-18 20:00:00,4842.10656,4846.58236,4806.58147,4836.74246,0
2026-03-19 00:00:00,4836.63541,4868.11576,4833.81999,4851.70851,0
2026-03-19 04:00:00,4851.75686,4853.63582,4733.0501,4733.0501,0
2026-03-19 08:00:00,4733.01708,4738.50594,4652.75093,4653.50515,0
2026-03-19 12:00:00,4653.76852,4653.76852,4514.89843,4577.69052,0
2026-03-19 16:00:00,4578.67185,4663.84372,4566.36085,4637.62973,0
2026-03-19 20:00:00,4637.58944,4675.6063,4636.34182,4643.09895,0
2026-03-20 00:00:00,4642.90775,4736.02113,4642.90775,4725.27668,0
2026-03-20 04:00:00,4724.98269,4727.77293,4660.83949,4706.42928,0
2026-03-20 08:00:00,4706.11131,4733.80964,4637.02393,4671.36593,0
2026-03-20 12:00:00,4671.91403,4695.99156,4544.73297,4554.81739,0
2026-03-20 16:00:00,4554.71506,4615.00986,4475.36646,4500.6531,0
2026-03-20 20:00:00,4500.48478,4513.49018,4490.7061,4497.4696,0
2026-03-21 00:00:00,4497.44854,4497.64611,4497.37722,4497.4203,0
2026-03-21 04:00:00,4497.45063,4497.64636,4497.37723,4497.43215,0
2026-03-21 08:00:00,4497.44757,4497.64294,4497.37783,4497.49175,0
2026-03-21 12:00:00,4497.44246,4497.64206,4497.37723,4497.5389,0
2026-03-21 16:00:00,4497.44028,4497.63618,4497.37925,4497.5218,0
2026-03-21 20:00:00,4497.44028,4497.63822,4497.37925,4497.45794,0
2026-03-22 00:00:00,4497.4423,4497.63822,4497.38128,4497.41048,0
2026-03-22 04:00:00,4497.4423,4497.63823,4497.38128,4497.43012,0
2026-03-22 08:00:00,4497.4423,4497.63823,4497.38129,4497.49676,0
2026-03-22 12:00:00,4497.4423,4497.63824,4497.38129,4497.54218,0
2026-03-22 16:00:00,4497.4423,4497.6526,4497.38103,4497.51799,0
2026-03-22 20:00:00,4497.4395,4532.22948,4453.15934,4466.30836,0
2026-03-23 00:00:00,4466.95648,4474.1529,4314.48259,4353.1224,0
2026-03-23 04:00:00,4351.3312,4382.12082,4104.81533,4198.4286,0
2026-03-23 08:00:00,4196.99652,4448.85164,4196.99652,4374.58054,0
2026-03-23 12:00:00,4374.42625,4509.82105,4334.90805,4359.0781,0
2026-03-23 16:00:00,4360.82771,4466.67996,4355.75488,4400.00688,0
2026-03-23 20:00:00,4399.37578,4448.78875,4360.13731,4439.02525,0
2026-03-24 00:00:00,4438.56771,4444.25928,4310.39454,4347.01184,0
2026-03-24 04:00:00,4346.94243,4430.26501,4318.79209,4419.04027,0
