datetime,open,high,low,close,volume
2026-06-03 07:45:00,4457.68917,4463.43533,4453.82048,4454.31498,0
2026-06-03 08:00:00,4454.99164,4458.71232,4451.76512,4457.4163,0
2026-06-03 08:15:00,4457.21424,4457.21424,4450.97254,4456.29367,0
2026-06-03 08:30:00,4455.82083,4458.91113,4454.9383,4456.50751,0
2026-06-03 08:45:00,4457.06133,4457.12248,4441.48346,4441.83416,0
2026-06-03 09:00:00,4442.28268,4459.70655,4442.28268,4453.18813,0
2026-06-03 09:15:00,4453.86164,4454.95957,4444.77036,4445.43041,0
2026-06-03 09:30:00,4446.34493,4448.39858,4438.96384,4447.53064,0
2026-06-03 09:45:00,4446.95202,4448.1433,4440.49734,4440.88546,0
2026-06-03 10:00:00,4441.6736,4464.11209,4441.30847,4460.95375,0
2026-06-03 10:15:00,4460.86668,4464.08642,4451.89496,4458.8171,0
2026-06-03 10:30:00,4457.01703,4461.89541,4454.9383,4455.10991,0
2026-06-03 10:45:00,4455.44446,4461.09921,4452.99173,4459.5293,0
2026-06-03 11:00:00,4459.73712,4467.68532,4458.20112,4462.84652,0
2026-06-03 11:15:00,4462.68805,4465.48183,4459.30881,4464.29892,0
2026-06-03 11:30:00,4463.92063,4467.07764,4459.90545,4460.36103,0
2026-06-03 11:45:00,4461.1783,4464.88369,4459.70655,4461.7808,0
2026-06-03 12:00:00,4461.93936,4464.85779,4456.32799,4459.18696,0
2026-06-03 12:15:00,4459.46256,4462.6919,4452.55799,4452.81067,0
2026-06-03 12:30:00,4453.08309,4459.58218,4448.59647,4454.27422,0
2026-06-03 12:45:00,4454.34797,4466.8781,4454.34797,4462.07739,0
2026-06-03 13:00:00,4461.46832,4465.28243,4458.88454,4463.02123,0
2026-06-03 13:15:00,4463.1977,4464.28571,4447.60719,4447.74294,0
2026-06-03 13:30:00,4447.7464,4453.48432,4431.44554,4432.93118,0
2026-06-03 13:45:00,4435.77983,4447.80501,4429.09026,4443.67949,0
2026-06-03 14:00:00,4443.88884,4455.93084,4443.88884,4455.44815,0
2026-06-03 14:15:00,4455.23842,4456.32799,4448.00285,4449.67104,0
2026-06-03 14:30:00,4448.54271,4453.17419,4448.39858,4450.07334,0
2026-06-03 14:45:00,4449.82243,4460.50225,4448.5551,4457.65498,0
2026-06-03 15:00:00,4457.51167,4457.72431,4445.82759,4446.1581,0
2026-06-03 15:15:00,4446.77501,4451.29603,4439.90587,4442.14207,0
2026-06-03 15:30:00,4442.0119,4444.70321,4437.73853,4441.37976,0
2026-06-03 15:45:00,4441.08392,4443.25958,4438.52641,4442.0041,0
2026-06-03 16:00:00,4441.81222,4443.65446,4438.30141,4439.35019,0
2026-06-03 16:15:00,4439.66888,4440.68132,4434.39315,4437.01971,0
2026-06-03 16:30:00,4436.61013,4440.10301,4435.44534,4436.61309,0
2026-06-03 16:45:00,4436.87332,4443.25958,4436.87332,4442.88944,0
2026-06-03 17:00:00,4442.16451,4447.01383,4441.43764,4443.03219,0
2026-06-03 17:15:00,4443.88455,4443.88455,4438.92045,4439.22214,0
2026-06-03 17:30:00,4439.7117,4441.68073,4436.28992,4440.91816,0
2026-06-03 17:45:00,4441.12498,4441.12498,4437.1478,4438.48524,0
2026-06-03 18:00:00,4438.55353,4440.30246,4436.55723,4436.75182,0
2026-06-03 18:15:00,4437.04117,4440.30016,4435.96682,4440.25489,0
2026-06-03 18:30:00,4440.16433,4442.47001,4437.14667,4439.9408,0
2026-06-03 18:45:00,4439.98725,4442.33118,4439.53365,4441.9619,0
2026-06-03 19:00:00,4441.32912,4449.78419,4441.32912,4448.76348,0
2026-06-03 19:15:00,4448.05695,4452.32841,4446.53459,4446.75729,0
2026-06-03 19:30:00,4447.26041,4449.78419,4447.2116,4447.36118,0
2026-06-03 19:45:00,4447.59374,4447.60719,4443.85193,4444.04635,0
2026-06-03 20:00:00,4444.46598,4445.03712,4439.1175,4439.79865,0
2026-06-03 20:15:00,4439.47423,4440.11682,4437.34469,4438.83424,0
2026-06-03 20:30:00,4439.0571,4439.90587,4432.23119,4432.90152,0
2026-06-03 20:45:00,4433.12798,4434.92367,4431.21076,4434.46857,0
2026-06-03 21:00:00,4434.26768,4434.98294,4433.79572,4434.38268,0
2026-06-03 21:15:00,4434.3415,4434.98315,4434.16332,4434.58303,0
2026-06-03 21:30:00,4434.51151,4434.84485,4434.21885,4434.52445,0
2026-06-03 21:45:00,4434.40833,4434.62622,4434.28566,4434.50661,0
2026-06-03 22:00:00,4434.41872,4441.08896,4430.31011,4431.96078,0
2026-06-03 22:15:00,4432.34405,4434.5898,4424.58298,4433.47711,0
2026-06-03 22:30:00,4433.56172,4440.07035,4433.09101,4435.69017,0
2026-06-03 22:45:00,4435.60402,4451.17066,4433.89585,4447.02983,0
2026-06-03 23:00:00,4447.29243,4450.97254,4441.49978,4447.61532,0
2026-06-03 23:15:00,4447.17563,4451.3688,4447.17563,4451.32268,0
2026-06-03 23:30:00,4451.14924,4453.54948,4446.54481,4452.99651,0
2026-06-03 23:45:00,4452.1552,4464.08642,4452.1552,4457.63514,0
2026-06-04 00:00:00,4457.77847,4463.88715,4453.77885,4454.25265,0
2026-06-04 00:15:00,4455.24781,4456.92383,4448.79438,4450.9699,0
2026-06-04 00:30:00,4450.41923,4451.96332,4444.78356,4446.87535,0
2026-06-04 00:45:00,4446.39462,4452.75626,4446.39462,4447.76251,0
2026-06-04 01:00:00,4447.83991,4466.47907,4445.43232,4465.26485,0
2026-06-04 01:15:00,4465.17081,4473.2722,4458.92301,4467.20356,0
2026-06-04 01:30:00,4467.33896,4469.779,4459.30881,4461.44734,0
2026-06-04 01:45:00,4461.13424,4466.8781,4457.91726,4465.21421,0
2026-06-04 02:00:00,4465.4544,4470.18356,4455.43984,4461.94956,0
2026-06-04 02:15:00,4461.13647,4464.14336,4459.16919,4462.20873,0
2026-06-04 02:30:00,4461.94084,4464.2637,4458.91113,4463.99162,0
2026-06-04 02:45:00,4463.53815,4475.10971,4460.3301,4472.3249,0
2026-06-04 03:00:00,4472.46788,4477.47828,4470.87227,4471.71778,0
2026-06-04 03:15:00,4471.6873,4472.29902,4466.67858,4469.38692,0
2026-06-04 03:30:00,4468.85127,4470.92628,4461.60307,4461.74501,0
2026-06-04 03:45:00,4461.97173,4464.48502,4459.3304,4463.72721,0
2026-06-04 04:00:00,4463.48511,4471.27208,4463.28944,4470.7471,0
2026-06-04 04:15:00,4469.87722,4475.51098,4469.87722,4474.49025,0
2026-06-04 04:30:00,4474.64094,4483.13445,4474.64094,4483.08879,0
2026-06-04 04:45:00,4482.9012,4484.57924,4479.08268,4480.68768,0
2026-06-04 05:00:00,4480.36476,4482.27836,4469.85653,4477.84868,0
2026-06-04 05:15:00,4476.73691,4477.78899,4471.13126,4473.42881,0
2026-06-04 05:30:00,4472.84447,4475.4444,4469.54902,4472.77153,0
2026-06-04 05:45:00,4473.08933,4474.67335,4467.67636,4469.32169,0
2026-06-04 06:00:00,4468.94922,4476.36782,4468.47491,4474.46785,0
2026-06-04 06:15:00,4475.18663,4475.18663,4467.67636,4471.2493,0
2026-06-04 06:30:00,4470.78248,4476.87693,4469.97085,4470.3359,0
2026-06-04 06:45:00,4471.08503,4471.08503,4463.48866,4466.95633,0
2026-06-04 07:00:00,4467.38826,4472.49128,4462.89106,4463.11168,0
2026-06-04 07:15:00,4463.65572,4470.87227,4462.29362,4464.80302,0
2026-06-04 07:30:00,4463.50597,4468.06052,4461.23898,4463.94221,0
2026-06-04 07:45:00,4462.97136,4462.97136,4459.87205,4460.19029,0
2026-06-04 08:00:00,4460.61397,4467.05598,4460.11414,4463.62501,0
2026-06-04 08:15:00,4463.85922,4465.87377,4458.91113,4459.76647,0
2026-06-04 08:30:00,4460.04478,4467.67636,4460.04478,4462.8085,0
2026-06-04 08:45:00,4462.63962,4465.88067,4460.90021,4463.79734,0
2026-06-04 09:00:00,4464.12794,4469.38394,4460.45512,4463.19132,0
2026-06-04 09:15:00,4463.34909,4466.8781,4463.01873,4466.1696,0
2026-06-04 09:30:00,4465.93577,4469.07907,4460.18025,4467.36902,0
2026-06-04 09:45:00,4467.57789,4475.66621,4467.5204,4469.95756,0
2026-06-04 10:00:00,4470.39325,4471.67196,4468.67459,4471.14185,0
2026-06-04 10:15:00,4470.89752,4471.27208,4464.21003,4467.86016,0
2026-06-04 10:30:00,4467.72595,4472.67197,4466.89637,4472.57056,0
2026-06-04 10:45:00,4472.32697,4472.87203,4469.07401,4471.95074,0
2026-06-04 11:00:00,4471.41473,4477.57878,4469.87306,4475.44001,0
2026-06-04 11:15:00,4475.58124,4490.34576,4472.19428,4490.0188,0
2026-06-04 11:30:00,4489.27882,4491.55587,4482.83608,4486.13636,0
2026-06-04 11:45:00,4487.46811,4514.67269,4487.46811,4514.15334,0
2026-06-04 12:00:00,4513.04377,4515.39736,4492.76665,4492.93891,0
2026-06-04 12:15:00,4493.13337,4500.11534,4491.35414,4499.84808,0
2026-06-04 12:30:00,4499.41848,4501.86828,4497.01955,4499.98805,0
2026-06-04 12:45:00,4500.2675,4512.89044,4499.7446,4504.28119,0
2026-06-04 13:00:00,4504.60027,4509.97215,4502.07095,4503.63101,0
2026-06-04 13:15:00,4503.34279,4508.36301,4502.27365,4504.68831,0
2026-06-04 13:30:00,4503.11204,4511.00686,4503.11204,4510.05444,0
2026-06-04 13:45:00,4508.56958,4515.79837,4498.2232,4501.94167,0
2026-06-04 14:00:00,4501.28038,4501.28038,4487.72945,4488.3042,0
2026-06-04 14:15:00,4489.56701,4493.77612,4485.10944,4487.01497,0
2026-06-04 14:30:00,4486.71993,4486.71993,4474.27293,4474.79237,0
2026-06-04 14:45:00,4475.6607,4475.6607,4458.71232,4464.40703,0
2026-06-04 15:00:00,4463.52178,4474.23102,4463.45975,4471.84519,0
2026-06-04 15:15:00,4472.10695,4473.07211,4470.67239,4471.19696,0
2026-06-04 15:30:00,4471.05777,4476.98725,4470.38616,4472.5156,0
2026-06-04 15:45:00,4473.60977,4479.16552,4471.27208,4477.83263,0
2026-06-04 16:00:00,4477.71365,4484.74364,4475.67471,4479.71835,0
2026-06-04 16:15:00,4480.09866,4484.52066,4479.48396,4484.39025,0
2026-06-04 16:30:00,4484.20248,4485.20515,4480.08602,4482.21061,0
2026-06-04 16:45:00,4482.09502,4483.50072,4480.88901,4482.76326,0
2026-06-04 17:00:00,4483.08205,4483.08205,4476.78599,4477.08131,0
2026-06-04 17:15:00,4477.6663,4478.76241,4474.83085,4477.62764,0
2026-06-04 17:30:00,4477.99127,4481.69229,4476.65008,4476.70201,0
2026-06-04 17:45:00,4476.84686,4480.65328,4476.84686,4478.57466,0
2026-06-04 18:00:00,4478.47946,4479.14692,4476.63049,4478.29768,0
2026-06-04 18:15:00,4478.47546,4480.74058,4477.67877,4478.37458,0
2026-06-04 18:30:00,4478.71261,4478.71261,4473.26142,4474.60347,0
2026-06-04 18:45:00,4474.42094,4479.48396,4473.70935,4477.78358,0
2026-06-04 19:00:00,4477.84376,4483.08431,4476.87693,4477.9026,0
2026-06-04 19:15:00,4477.8819,4480.17197,4477.87928,4480.01173,0
2026-06-04 19:30:00,4479.6766,4480.44073,4478.0798,4478.48225,0
2026-06-04 19:45:00,4478.94985,4481.69229,4476.6844,4481.3366,0
2026-06-04 20:00:00,4480.86382,4482.21991,4478.0798,4478.4679,0
2026-06-04 20:15:00,4478.39681,4478.76486,4476.81144,4477.79114,0
2026-06-04 20:30:00,4477.61344,4477.94341,4475.24757,4476.16019,0
2026-06-04 20:45:00,4476.12621,4476.12621,4474.38547,4475.96582,0
2026-06-04 21:00:00,4475.678,4475.70417,4474.87358,4475.58676,0
2026-06-04 21:15:00,4475.5311,4476.07538,4475.07384,4475.47996,0
2026-06-04 21:30:00,4475.37648,4475.65094,4475.2729,4475.5116,0
2026-06-04 21:45:00,4475.44987,4475.97579,4475.27411,4475.42472,0
2026-06-04 22:00:00,4475.41952,4476.47612,4473.16323,4474.34219,0
2026-06-04 22:15:00,4474.86543,4480.08602,4474.86543,4479.99234,0
2026-06-04 22:30:00,4479.84078,4481.29061,4475.87503,4476.19711,0
2026-06-04 22:45:00,4476.7579,4476.7579,4469.86342,4470.15096,0
2026-06-04 23:00:00,4470.51511,4473.67244,4462.62996,4471.5638,0
2026-06-04 23:15:00,4472.19242,4472.67197,4467.55209,4468.48503,0
2026-06-04 23:30:00,4469.18293,4469.18293,4462.86177,4463.1395,0
2026-06-04 23:45:00,4463.68186,4467.41749,4461.67281,4462.32826,0
2026-06-05 00:00:00,4462.38535,4464.88369,4454.73984,4455.95448,0
2026-06-05 00:15:00,4456.08063,4456.92383,4451.56695,4453.88265,0
2026-06-05 00:30:00,4454.86506,4466.47907,4454.86506,4464.21174,0
2026-06-05 00:45:00,4464.5564,4465.88923,4460.61519,4461.52126,0
2026-06-05 01:00:00,4463.56351,4469.07401,4454.5414,4461.40849,0
2026-06-05 01:15:00,4462.12862,4464.88369,4448.9923,4457.44985,0
2026-06-05 01:30:00,4455.75107,4458.71988,4447.2116,4447.32251,0
2026-06-05 01:45:00,4447.45514,4451.17066,4444.64544,4445.76157,0
2026-06-05 02:00:00,4446.01921,4450.37828,4441.39866,4450.22965,0
2026-06-05 02:15:00,4449.98367,4454.79778,4448.00285,4451.29827,0
2026-06-05 02:30:00,4451.7312,4451.7312,4438.52641,4441.87232,0
2026-06-05 02:45:00,4440.17101,4450.65281,4440.17101,4441.15376,0
2026-06-05 03:00:00,4441.2597,4441.2597,4436.95093,4440.43455,0
2026-06-05 03:15:00,4440.21771,4444.04942,4435.5733,4438.08686,0
2026-06-05 03:30:00,4437.97271,4442.07534,4434.5795,4442.02274,0
2026-06-05 03:45:00,4441.79666,4443.25958,4439.70876,4442.19147,0
2026-06-05 04:00:00,4442.34967,4445.01582,4438.51886,4438.77843,0
2026-06-05 04:15:00,4439.20991,4445.78221,4438.56424,4440.7307,0
2026-06-05 04:30:00,4441.81121,4443.25958,4437.34469,4439.3826,0
2026-06-05 04:45:00,4439.89355,4446.24284,4439.35535,4445.29336,0
2026-06-05 05:00:00,4445.41401,4449.9822,4443.85193,4447.86338,0
2026-06-05 05:15:00,4447.76446,4450.07241,4442.28073,4445.65842,0
2026-06-05 05:30:00,4445.57565,4447.60719,4440.10301,4443.82676,0
2026-06-05 05:45:00,4444.01707,4447.80501,4439.31457,4439.79172,0
2026-06-05 06:00:00,4440.03809,4441.72534,4436.36041,4437.42497,0
2026-06-05 06:15:00,4437.62478,4445.53389,4429.15481,4442.22828,0
2026-06-05 06:30:00,4443.51077,4449.9822,4439.8252,4448.12196,0
2026-06-05 06:45:00,4447.79136,4456.32799,4445.65332,4453.00791,0
2026-06-05 07:00:00,4452.67856,4462.8816,4451.76512,4462.33405,0
2026-06-05 07:15:00,4461.33653,4466.27959,4459.10996,4466.07296,0
2026-06-05 07:30:00,4465.49803,4467.07764,4460.10437,4464.88581,0
2026-06-05 07:45:00,4463.6978,4464.88369,4461.09921,4461.38895,0
2026-06-05 08:00:00,4461.59943,4463.42481,4458.92715,4459.86611,0
2026-06-05 08:15:00,4459.96182,4465.28243,4459.96182,4462.64637,0
2026-06-05 08:30:00,4463.45551,4466.94019,4461.05811,4462.5843,0
2026-06-05 08:45:00,4462.63934,4464.58884,4461.9538,4463.21456,0
2026-06-05 09:00:00,4463.10937,4466.05274,4459.50767,4465.24494,0
2026-06-05 09:15:00,4463.91309,4468.87429,4463.45088,4464.11737,0
2026-06-05 09:30:00,4464.9961,4465.7142,4459.70655,4465.31373,0
2026-06-05 09:45:00,4465.23052,4469.07401,4462.96561,4464.20308,0
2026-06-05 10:00:00,4463.9313,4465.08305,4463.08574,4463.85418,0
2026-06-05 10:15:00,4464.14117,4468.55634,4464.14117,4465.54811,0
2026-06-05 10:30:00,4465.56885,4466.67858,4461.27556,4463.55854,0
2026-06-05 10:45:00,4462.54781,4467.67636,4462.54781,4466.51138,0
2026-06-05 11:00:00,4466.59774,4467.15015,4462.71853,4463.37697,0
2026-06-05 11:15:00,4464.85511,4465.68124,4460.90021,4465.49574,0
2026-06-05 11:30:00,4465.10796,4467.32333,4462.4843,4465.60948,0
2026-06-05 11:45:00,4465.4247,4474.27293,4463.08626,4469.91985,0
2026-06-05 12:00:00,4469.45329,4471.53793,4464.68435,4468.70983,0
2026-06-05 12:15:00,4468.54643,4473.12772,4462.49275,4462.64175,0
2026-06-05 12:30:00,4463.13768,4476.39626,4441.08896,4444.01388,0
2026-06-05 12:45:00,4444.54128,4448.39858,4408.76939,4411.66698,0
2026-06-05 13:00:00,4411.89295,4420.28025,4399.07599,4418.66945,0
2026-06-05 13:15:00,4418.82439,4419.74549,4406.13229,4414.48101,0
2026-06-05 13:30:00,4410.87164,4410.87164,4385.38789,4390.69471,0
2026-06-05 13:45:00,4391.12813,4391.12813,4376.43126,4377.04485,0
2026-06-05 14:00:00,4378.42025,4378.66713,4362.62106,4366.98243,0
2026-06-05 14:15:00,4367.76908,4368.71997,4353.88366,4358.97218,0
2026-06-05 14:30:00,4358.30805,4363.78903,4346.45776,4348.89824,0
2026-06-05 14:45:00,4348.57104,4369.86541,4342.89781,4369.46382,0
2026-06-05 15:00:00,4368.64122,4372.91128,4358.48284,4359.73637,0
2026-06-05 15:15:00,4359.58494,4359.58494,4348.20419,4354.3333,0
2026-06-05 15:30:00,4353.4417,4354.64205,4336.3254,4341.29452,0
2026-06-05 15:45:00,4340.75432,4342.17346,4335.45176,4335.78068,0
2026-06-05 16:00:00,4336.26429,4338.77126,4329.37917,4338.29164,0
2026-06-05 16:15:00,4337.38188,4337.38188,4325.97398,4331.15339,0
2026-06-05 16:30:00,4330.90749,4332.00485,4325.63371,4328.80877,0
2026-06-05 16:45:00,4328.49703,4343.4826,4327.50563,4343.24563,0
2026-06-05 17:00:00,4342.87369,4345.77689,4335.65754,4341.69661,0
2026-06-05 17:15:00,4340.79646,4342.8293,4336.30543,4339.57774,0
2026-06-05 17:30:00,4338.39909,4348.51577,4338.39909,4341.48512,0
2026-06-05 17:45:00,4341.52752,4343.29395,4338.9503,4343.21285,0
2026-06-05 18:00:00,4342.96651,4343.0056,4326.94833,4327.53396,0
2026-06-05 18:15:00,4328.75081,4328.75081,4322.642,4325.67961,0
2026-06-05 18:30:00,4324.98878,4327.95735,4316.48212,4316.77528,0
2026-06-05 18:45:00,4317.35974,4324.69835,4315.90356,4323.41654,0
2026-06-05 19:00:00,4323.51813,4325.6899,4316.11205,4316.34962,0
2026-06-05 19:15:00,4316.69489,4324.51133,4314.88673,4324.18793,0
